Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Directional Deformation (mm)
7989	-239.4024658	15.69302845	39.19119263	-2.30012791e-005
7990	-240.5335846	15.69284344	31.50292778	-2.295669077e-005
7991	-241.4302521	15.69428444	23.77648926	-2.286918743e-005
7992	-242.1066284	15.6992054	15.98492813	-2.286585143e-005
7993	-242.5220184	15.70274258	8.161050797	-2.288297374e-005
7994	-242.6967621	15.7079668	0.3440664113	-2.267033672e-005
7995	-242.6901855	15.72295856	-7.473299503	-2.20799663e-005
7996	-242.296524	15.71886539	-15.24546909	-2.202461857e-005
7997	-241.8609619	15.74394703	-23.0478096	-2.124585485e-005
7998	-241.0290222	15.74829292	-30.7923851	-2.102684427e-005
7999	-239.9239502	15.74837875	-38.47020721	-2.104510877e-005
8000	-238.5902863	15.74896336	-46.04547882	-2.099713114e-005
8001	-237.0771179	15.75497246	-53.48838806	-2.078980543e-005
8002	-235.2703094	15.75433254	-60.92787933	-2.091676876e-005
8003	-233.1529388	15.74644566	-68.38414001	-2.107895902e-005
8004	-230.9611053	15.75601482	-75.67816925	-2.063083393e-005
8005	-228.5451202	15.76990414	-82.98204803	-1.991766574e-005
8006	-225.7637024	15.7621727	-90.12517548	-1.961934259e-005
8007	-222.7575531	15.75555801	-97.19922638	-1.905547009e-005
8008	-219.5000153	15.75067902	-104.2653427	-1.817205941e-005
8009	-216.0700989	15.75172234	-111.2154922	-1.707262243e-005
8010	-212.3640594	15.74294758	-118.0081787	-1.609640066e-005
8011	-208.4282074	15.73582172	-124.7282486	-1.49561199e-005
8012	-204.2694397	15.72850037	-131.3308563	-1.366596525e-005
8013	-199.939209	15.72775936	-137.8242035	-1.180063336e-005
8014	-195.4031067	15.72944355	-144.2037659	-9.729926198e-006
8015	-190.6725769	15.73619556	-150.4816589	-7.901968857e-006
8016	-185.7083588	15.74010658	-156.6105957	-6.21499785e-006
8017	-180.5693054	15.74422264	-162.5534363	-4.528839082e-006
8018	-175.2467804	15.76121902	-168.4548035	-2.481752581e-006
8019	-169.7571411	15.76211357	-173.9945374	-8.144369623e-007
8020	-164.1378479	15.75279903	-179.2141724	8.078300251e-007
8021	-158.4096375	15.76053238	-184.3703766	3.199633003e-006
8022	-152.5121307	15.76873302	-189.3537445	5.585401475e-006
8023	-146.3916321	15.77256012	-194.1589355	7.545753355e-006
8024	-140.2083282	15.77271557	-198.6715088	9.337331797e-006
8025	-133.9125366	15.75566292	-202.8211517	1.047255527e-005
8026	-127.4410324	15.75627518	-206.9538879	1.187780274e-005
8027	-120.7499847	15.72748852	-210.6886139	1.185533094e-005
8028	-114.0062027	15.71851254	-214.3394165	1.198093003e-005
8029	-107.1391296	15.70736504	-217.7634888	1.133464611e-005
8030	-100.1275482	15.69896698	-221.0085449	1.000606442e-005
8031	-92.96720886	15.69854546	-224.1114044	7.324615581e-006
8032	-85.78936768	15.69858551	-226.9562683	2.025560608e-006
8033	-78.42828369	15.68361092	-229.489624	-6.859136814e-006
8034	1.501030207	-1.065499544	10.89267254	3.332641274e-006
8035	28.47545815	-0.8675361276	-1.948008299	-5.852198797e-004
8036	18.84584236	-0.8446579576	23.23047066	-7.592355473e-004
8037	5.335523129	-0.9121984243	-25.09310913	-5.054941425e-004
8038	-27.39605904	-0.8855895996	-0.9141638279	-2.508689931e-004
8039	-5.134636879	-1.065563679	-9.711547852	-1.867907429e-005
8040	-9.505946159	-1.009517074	-15.05740643	-1.182968958e-004
8041	2.639658928	-1.052539587	-12.62349606	1.203878663e-006
8042	-13.80517673	-0.908516705	-21.91919518	-3.501072001e-004
8043	-15.22067833	-1.033362627	-1.36195302	-6.502524741e-005
8044	3.56226778	-0.8662751317	28.39675522	-5.685229212e-004
8045	7.683747768	-1.027130485	14.01156425	-2.153700507e-005
8046	5.589453697	-1.084576845	4.775645256	2.047085346e-005
8047	-4.332859039	-1.081083417	6.89331007	-1.153873441e-005
8048	26.55505371	-0.8668029904	-10.5851202	-6.40616804e-004
8049	21.71116638	-0.9654566646	-0.3449829221	-1.88895541e-004
8050	16.42906761	-0.976195991	-12.80408287	-1.855784433e-004
8051	20.69240952	-0.961966455	-7.453121662	-2.220482571e-004
8052	11.87904358	-0.8435060382	27.52718163	-7.317668178e-004
8053	3.987912178	-0.9707639217	20.90434265	-1.969565631e-004
8054	13.84059525	-0.9553571343	17.75737572	-2.518539191e-004
8055	9.958050728	-0.9323325157	22.10002518	-3.52658617e-004
8056	-3.735984564	-0.9140523672	-25.25227547	-4.337119037e-004
8057	4.212682247	-0.9936901331	-18.83628464	-1.533757512e-004
8058	-3.160725117	-0.9954493642	-18.87848282	-1.668019394e-004
