Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Directional Deformation (mm)
5637	111.8382721	4.459761143	83.52143097	-3.502635518e-003
5638	100.7816544	4.679944038	100.4902725	-3.666572738e-003
5639	97.31449127	4.639005184	103.1584244	-3.650492523e-003
5640	94.51116943	4.69899559	106.7222519	-3.6966193e-003
5641	86.28858948	4.427938461	109.2080002	-3.516872181e-003
5642	87.33765411	4.678817749	112.3540039	-3.706560237e-003
5643	79.8788147	4.66073513	117.5044479	-3.707932075e-003
5644	73.5482254	4.577135563	120.3561859	-3.671435639e-003
5645	69.28239441	4.630494595	123.6199646	-3.74571397e-003
5646	53.12688446	4.244361401	126.1202393	-3.577985801e-003
5647	42.02180862	4.226323128	129.9989777	-3.733483609e-003
5648	35.59689713	4.815666199	139.5124359	-4.278304987e-003
5649	31.575737	4.648122787	138.371582	-4.258785397e-003
5650	8.336941719	4.543615818	140.3851166	-4.577842541e-003
5651	-1.798167706	4.538617611	140.55867	-4.709043074e-003
5652	-6.659101486	4.54092741	140.4411774	-4.753418267e-003
5653	-11.35806084	4.526412487	139.9578247	-4.766903352e-003
5654	-16.20145607	4.579267025	140.1425629	-4.772587214e-003
5655	-21.20025253	4.507921219	138.574707	-4.716944415e-003
